ts,iso,port,address,kind,name,value,unit,extra
1758493980.083,2025-09-22 00:33:00,/dev/ttyUSB0,3,measure,fMeasure,30.77025,,48 samples
1758494040.283,2025-09-22 00:34:00,/dev/ttyUSB0,3,measure,fMeasure,30.75287,,49 samples
1758494100.482,2025-09-22 00:35:00,/dev/ttyUSB0,3,measure,fMeasure,30.72452,,51 samples
1758494160.682,2025-09-22 00:36:00,/dev/ttyUSB0,3,measure,fMeasure,30.64761,,47 samples
1758494220.683,2025-09-22 00:37:00,/dev/ttyUSB0,3,measure,fMeasure,30.65353,,54 samples
1758494280.683,2025-09-22 00:38:00,/dev/ttyUSB0,3,measure,fMeasure,30.73603,,53 samples
1758494340.883,2025-09-22 00:39:00,/dev/ttyUSB0,3,measure,fMeasure,30.81233,,49 samples
1758494400.883,2025-09-22 00:40:00,/dev/ttyUSB0,3,measure,fMeasure,30.79495,,53 samples
1758494461.083,2025-09-22 00:41:01,/dev/ttyUSB0,3,measure,fMeasure,30.73877,,51 samples
1758494521.282,2025-09-22 00:42:01,/dev/ttyUSB0,3,measure,fMeasure,30.78578,,41 samples
1758494581.283,2025-09-22 00:43:01,/dev/ttyUSB0,3,measure,fMeasure,30.77623,,50 samples
1758494641.283,2025-09-22 00:44:01,/dev/ttyUSB0,3,measure,fMeasure,30.76839,,45 samples
1758494701.483,2025-09-22 00:45:01,/dev/ttyUSB0,3,measure,fMeasure,30.76024,,57 samples
1758494761.683,2025-09-22 00:46:01,/dev/ttyUSB0,3,measure,fMeasure,30.78452,,51 samples
1758494821.683,2025-09-22 00:47:01,/dev/ttyUSB0,3,measure,fMeasure,30.80514,,50 samples
1758494881.883,2025-09-22 00:48:01,/dev/ttyUSB0,3,measure,fMeasure,30.82245,,48 samples
1758494942.083,2025-09-22 00:49:02,/dev/ttyUSB0,3,measure,fMeasure,30.78064,,61 samples
1758495002.283,2025-09-22 00:50:02,/dev/ttyUSB0,3,measure,fMeasure,30.76269,,52 samples
1758495062.283,2025-09-22 00:51:02,/dev/ttyUSB0,3,measure,fMeasure,30.80791,,41 samples
1758495122.482,2025-09-22 00:52:02,/dev/ttyUSB0,3,measure,fMeasure,30.82335,,50 samples
1758495182.482,2025-09-22 00:53:02,/dev/ttyUSB0,3,measure,fMeasure,30.83106,,51 samples
