ts,iso,port,address,kind,name,value,unit,extra
1758491937.283,2025-09-21 23:58:57,/dev/ttyUSB2,3,measure,fMeasure,24.99870,,48 samples
1758491997.483,2025-09-21 23:59:57,/dev/ttyUSB2,3,measure,fMeasure,25.02414,,34 samples
1758492057.484,2025-09-22 00:00:57,/dev/ttyUSB2,3,measure,fMeasure,24.99227,,57 samples
1758492117.683,2025-09-22 00:01:57,/dev/ttyUSB2,3,measure,fMeasure,24.99621,,42 samples
1758492177.883,2025-09-22 00:02:57,/dev/ttyUSB2,3,measure,fMeasure,24.99930,,66 samples
1758492238.083,2025-09-22 00:03:58,/dev/ttyUSB2,3,measure,fMeasure,25.02680,,30 samples
1758492298.283,2025-09-22 00:04:58,/dev/ttyUSB2,3,measure,fMeasure,25.00750,,47 samples
1758492358.482,2025-09-22 00:05:58,/dev/ttyUSB2,3,measure,fMeasure,25.01311,,39 samples
1758492418.483,2025-09-22 00:06:58,/dev/ttyUSB2,3,measure,fMeasure,24.98624,,44 samples
1758492478.683,2025-09-22 00:07:58,/dev/ttyUSB2,3,measure,fMeasure,24.99377,,52 samples
1758492538.683,2025-09-22 00:08:58,/dev/ttyUSB2,3,measure,fMeasure,25.01262,,43 samples
1758492598.883,2025-09-22 00:09:58,/dev/ttyUSB2,3,measure,fMeasure,24.98693,,45 samples
1758492659.082,2025-09-22 00:10:59,/dev/ttyUSB2,3,measure,fMeasure,24.99604,,58 samples
1758492719.282,2025-09-22 00:11:59,/dev/ttyUSB2,3,measure,fMeasure,24.98156,,46 samples
1758492779.283,2025-09-22 00:12:59,/dev/ttyUSB2,3,measure,fMeasure,25.01014,,40 samples
1758492839.283,2025-09-22 00:13:59,/dev/ttyUSB2,3,measure,fMeasure,24.99620,,56 samples
1758492899.483,2025-09-22 00:14:59,/dev/ttyUSB2,3,measure,fMeasure,24.99964,,54 samples
1758492959.682,2025-09-22 00:15:59,/dev/ttyUSB2,3,measure,fMeasure,25.00750,,40 samples
1758493019.683,2025-09-22 00:16:59,/dev/ttyUSB2,3,measure,fMeasure,24.98687,,50 samples
1758493079.884,2025-09-22 00:17:59,/dev/ttyUSB2,3,measure,fMeasure,24.98026,,33 samples
1758493140.082,2025-09-22 00:19:00,/dev/ttyUSB2,3,measure,fMeasure,25.00150,,54 samples
1758493200.083,2025-09-22 00:20:00,/dev/ttyUSB2,3,measure,fMeasure,24.99946,,48 samples
1758493260.283,2025-09-22 00:21:00,/dev/ttyUSB2,3,measure,fMeasure,24.99323,,49 samples
1758493320.284,2025-09-22 00:22:00,/dev/ttyUSB2,3,measure,fMeasure,25.00308,,49 samples
1758493380.284,2025-09-22 00:23:00,/dev/ttyUSB2,3,measure,fMeasure,24.99228,,59 samples
1758493440.484,2025-09-22 00:24:00,/dev/ttyUSB2,3,measure,fMeasure,25.00275,,45 samples
1758493500.682,2025-09-22 00:25:00,/dev/ttyUSB2,3,measure,fMeasure,24.98092,,40 samples
1758493560.682,2025-09-22 00:26:00,/dev/ttyUSB2,3,measure,fMeasure,24.99592,,38 samples
1758493620.682,2025-09-22 00:27:00,/dev/ttyUSB2,3,measure,fMeasure,25.00683,,41 samples
1758493680.683,2025-09-22 00:28:00,/dev/ttyUSB2,3,measure,fMeasure,25.00368,,53 samples
1758493740.882,2025-09-22 00:29:00,/dev/ttyUSB2,3,measure,fMeasure,24.99938,,39 samples
1758493800.883,2025-09-22 00:30:00,/dev/ttyUSB2,3,measure,fMeasure,25.00428,,42 samples
1758493860.883,2025-09-22 00:31:00,/dev/ttyUSB2,3,measure,fMeasure,24.99710,,44 samples
1758493921.083,2025-09-22 00:32:01,/dev/ttyUSB2,3,measure,fMeasure,24.99366,,43 samples
1758493981.283,2025-09-22 00:33:01,/dev/ttyUSB2,3,measure,fMeasure,24.99443,,52 samples
1758494041.482,2025-09-22 00:34:01,/dev/ttyUSB2,3,measure,fMeasure,24.99470,,54 samples
1758494101.483,2025-09-22 00:35:01,/dev/ttyUSB2,3,measure,fMeasure,24.99350,,40 samples
1758494161.483,2025-09-22 00:36:01,/dev/ttyUSB2,3,measure,fMeasure,25.01103,,43 samples
1758494221.483,2025-09-22 00:37:01,/dev/ttyUSB2,3,measure,fMeasure,24.99931,,52 samples
1758494281.483,2025-09-22 00:38:01,/dev/ttyUSB2,3,measure,fMeasure,25.01586,,38 samples
1758494341.683,2025-09-22 00:39:01,/dev/ttyUSB2,3,measure,fMeasure,24.98704,,49 samples
1758494401.882,2025-09-22 00:40:01,/dev/ttyUSB2,3,measure,fMeasure,25.01942,,48 samples
1758494461.883,2025-09-22 00:41:01,/dev/ttyUSB2,3,measure,fMeasure,25.01238,,62 samples
1758494522.082,2025-09-22 00:42:02,/dev/ttyUSB2,3,measure,fMeasure,24.98288,,54 samples
1758494582.083,2025-09-22 00:43:02,/dev/ttyUSB2,3,measure,fMeasure,25.00962,,43 samples
1758494642.083,2025-09-22 00:44:02,/dev/ttyUSB2,3,measure,fMeasure,24.99827,,50 samples
1758494702.083,2025-09-22 00:45:02,/dev/ttyUSB2,3,measure,fMeasure,24.99502,,46 samples
1758494762.283,2025-09-22 00:46:02,/dev/ttyUSB2,3,measure,fMeasure,25.00527,,45 samples
1758494822.283,2025-09-22 00:47:02,/dev/ttyUSB2,3,measure,fMeasure,24.98563,,46 samples
1758494882.283,2025-09-22 00:48:02,/dev/ttyUSB2,3,measure,fMeasure,24.99510,,49 samples
1758494942.283,2025-09-22 00:49:02,/dev/ttyUSB2,3,measure,fMeasure,25.01723,,62 samples
1758495002.285,2025-09-22 00:50:02,/dev/ttyUSB2,3,measure,fMeasure,25.00468,,55 samples
1758495062.483,2025-09-22 00:51:02,/dev/ttyUSB2,3,measure,fMeasure,25.00822,,56 samples
1758495122.683,2025-09-22 00:52:02,/dev/ttyUSB2,3,measure,fMeasure,24.99200,,63 samples
1758495182.883,2025-09-22 00:53:02,/dev/ttyUSB2,3,measure,fMeasure,25.00604,,42 samples
1758495243.083,2025-09-22 00:54:03,/dev/ttyUSB2,3,measure,fMeasure,25.00688,,47 samples
1758495303.283,2025-09-22 00:55:03,/dev/ttyUSB2,3,measure,fMeasure,24.99268,,50 samples
1758495363.483,2025-09-22 00:56:03,/dev/ttyUSB2,3,measure,fMeasure,24.99455,,49 samples
1758495423.682,2025-09-22 00:57:03,/dev/ttyUSB2,3,measure,fMeasure,24.99199,,40 samples
1758495483.683,2025-09-22 00:58:03,/dev/ttyUSB2,3,measure,fMeasure,24.99579,,57 samples
1758495543.883,2025-09-22 00:59:03,/dev/ttyUSB2,3,measure,fMeasure,25.00784,,47 samples
1758495604.084,2025-09-22 01:00:04,/dev/ttyUSB2,3,measure,fMeasure,24.99724,,55 samples
1758495664.283,2025-09-22 01:01:04,/dev/ttyUSB2,3,measure,fMeasure,24.98721,,42 samples
1758495724.483,2025-09-22 01:02:04,/dev/ttyUSB2,3,measure,fMeasure,24.99474,,51 samples
1758495784.483,2025-09-22 01:03:04,/dev/ttyUSB2,3,measure,fMeasure,25.00029,,54 samples
